时间 (UTC+08:00),点击次数,展示,点击率,排名
2026-05-06T17:00:00,0,31,0%,12.8
2026-05-06T18:00:00,0,47,0%,9.6
2026-05-06T19:00:00,0,42,0%,14.1
2026-05-06T20:00:00,0,82,0%,11.4
2026-05-06T21:00:00,0,69,0%,11.2
2026-05-06T22:00:00,0,59,0%,13.5
2026-05-06T23:00:00,0,49,0%,16.6
2026-05-07T00:00:00,0,63,0%,11.4
2026-05-07T01:00:00,0,19,0%,10.9
2026-05-07T02:00:00,0,35,0%,16.4
2026-05-07T03:00:00,0,24,0%,5.9
2026-05-07T04:00:00,0,24,0%,18.8
2026-05-07T05:00:00,0,21,0%,11.2
2026-05-07T06:00:00,0,19,0%,20.2
2026-05-07T07:00:00,0,31,0%,9.8
2026-05-07T08:00:00,0,50,0%,17.3
2026-05-07T09:00:00,0,48,0%,10.5
2026-05-07T10:00:00,0,27,0%,10.6
2026-05-07T11:00:00,0,28,0%,12.6
2026-05-07T12:00:00,0,37,0%,8.3
2026-05-07T13:00:00,0,24,0%,9.7
2026-05-07T14:00:00,0,24,0%,7.7
2026-05-07T15:00:00,0,7,0%,8.9
2026-05-07T16:00:00,0,0,0%,0
